"mz","rt","sample_name","day","organ","feed","into_norm","metabolite","ion"
272.1,299,"mca_1_l_d2o",5,"l","d2o",3722532.52232143,"norcoclaurine","M0"
272.1,299,"mca_1_l_h2o",5,"l","h2o",7636834.79628698,"norcoclaurine","M0"
272.1,299,"mca_13_l_d2o",15,"l","d2o",6012648.50213015,"norcoclaurine","M0"
272.1,299,"mca_13_l_h2o",15,"l","h2o",1031011.09178442,"norcoclaurine","M0"
272.1,299,"mca_3_l_d2o",10,"l","d2o",2331254.29438089,"norcoclaurine","M0"
272.1,299,"mca_3_l_h2o",10,"l","h2o",10191779.6858842,"norcoclaurine","M0"
286.1,622,"mca_1_l_d2o",5,"l","d2o",21240257.1016485,"coclaurine","M0"
286.1,622,"mca_1_l_h2o",5,"l","h2o",50312576.9359685,"coclaurine","M0"
286.1,622,"mca_13_l_d2o",15,"l","d2o",10989370.0526838,"coclaurine","M0"
286.1,622,"mca_13_l_h2o",15,"l","h2o",6033954.31713019,"coclaurine","M0"
286.1,622,"mca_3_l_d2o",10,"l","d2o",14854834.3071146,"coclaurine","M0"
286.1,622,"mca_3_l_h2o",10,"l","h2o",48879545.3509824,"coclaurine","M0"
300.2,347,"mca_1_l_d2o",5,"l","d2o",3770082.83330594,"methylcoclaurine","M0"
300.2,347,"mca_1_l_h2o",5,"l","h2o",4244046.83494949,"methylcoclaurine","M0"
300.2,347,"mca_13_l_d2o",15,"l","d2o",239412.139623455,"methylcoclaurine","M0"
300.2,347,"mca_13_l_h2o",15,"l","h2o",145001.72534106,"methylcoclaurine","M0"
300.2,347,"mca_3_l_d2o",10,"l","d2o",1621275.59595203,"methylcoclaurine","M0"
300.2,347,"mca_3_l_h2o",10,"l","h2o",1358947.68279963,"methylcoclaurine","M0"
330.2,353,"mca_1_l_d2o",5,"l","d2o",203976.672263,"reticuline","M0"
330.2,353,"mca_1_l_h2o",5,"l","h2o",123838.951861323,"reticuline","M0"
330.2,353,"mca_13_l_d2o",15,"l","d2o",225451691.740721,"reticuline","M0"
330.2,353,"mca_13_l_h2o",15,"l","h2o",271283066.483634,"reticuline","M0"
330.2,353,"mca_3_l_d2o",10,"l","d2o",244404616.176142,"reticuline","M0"
330.2,353,"mca_3_l_h2o",10,"l","h2o",231637733.737073,"reticuline","M0"
398.1,316,"mca_1_l_d2o",5,"l","d2o",229776420.474684,"acutumine","M0"
398.1,316,"mca_1_l_h2o",5,"l","h2o",212755891.215636,"acutumine","M0"
398.1,316,"mca_13_l_d2o",15,"l","d2o",175533421.315456,"acutumine","M0"
398.1,316,"mca_13_l_h2o",15,"l","h2o",146172512.487654,"acutumine","M0"
398.1,316,"mca_3_l_d2o",10,"l","d2o",118862574.320652,"acutumine","M0"
398.1,316,"mca_3_l_h2o",10,"l","h2o",93614096.8503351,"acutumine","M0"
384.1,226,"mca_1_l_d2o",5,"l","d2o",37393612.3328921,"acutumidine","M0"
384.1,226,"mca_1_l_h2o",5,"l","h2o",40940659.7803116,"acutumidine","M0"
384.1,226,"mca_13_l_d2o",15,"l","d2o",36248443.7482155,"acutumidine","M0"
384.1,226,"mca_13_l_h2o",15,"l","h2o",30838335.5562753,"acutumidine","M0"
384.1,226,"mca_3_l_d2o",10,"l","d2o",18805680.1736307,"acutumidine","M0"
384.1,226,"mca_3_l_h2o",10,"l","h2o",24788851.8934897,"acutumidine","M0"
273.1,298,"mca_1_l_d2o",5,"l","d2o",1939269.26621836,"norcoclaurine","M1"
273.1,298,"mca_1_l_h2o",5,"l","h2o",1331246.11679898,"norcoclaurine","M1"
273.1,298,"mca_13_l_d2o",15,"l","d2o",5702865.52789672,"norcoclaurine","M1"
273.1,298,"mca_13_l_h2o",15,"l","h2o",186698.823757286,"norcoclaurine","M1"
273.1,298,"mca_3_l_d2o",10,"l","d2o",1154564.25489038,"norcoclaurine","M1"
273.1,298,"mca_3_l_h2o",10,"l","h2o",1880048.9591806,"norcoclaurine","M1"
287.1,622,"mca_1_l_d2o",5,"l","d2o",10292066.8835852,"coclaurine","M1"
287.1,622,"mca_1_l_h2o",5,"l","h2o",9769846.11495327,"coclaurine","M1"
287.1,622,"mca_13_l_d2o",15,"l","d2o",10622422.4164882,"coclaurine","M1"
287.1,622,"mca_13_l_h2o",15,"l","h2o",1140030.63009299,"coclaurine","M1"
287.1,622,"mca_3_l_d2o",10,"l","d2o",6284627.38656126,"coclaurine","M1"
287.1,622,"mca_3_l_h2o",10,"l","h2o",10205849.0657187,"coclaurine","M1"
301.2,345,"mca_1_l_d2o",5,"l","d2o",944784.969381884,"methylcoclaurine","M1"
301.2,345,"mca_1_l_h2o",5,"l","h2o",821196.912934873,"methylcoclaurine","M1"
301.2,345,"mca_13_l_d2o",15,"l","d2o",24058.4258240055,"methylcoclaurine","M1"
301.2,345,"mca_13_l_h2o",15,"l","h2o",0,"methylcoclaurine","M1"
301.2,345,"mca_3_l_d2o",10,"l","d2o",385859.96814093,"methylcoclaurine","M1"
301.2,345,"mca_3_l_h2o",10,"l","h2o",200372.873171137,"methylcoclaurine","M1"
331.2,356,"mca_1_l_d2o",5,"l","d2o",69662.8130263169,"reticuline","M1"
331.2,356,"mca_1_l_h2o",5,"l","h2o",27990.5187727575,"reticuline","M1"
331.2,356,"mca_13_l_d2o",15,"l","d2o",54804460.8960298,"reticuline","M1"
331.2,356,"mca_13_l_h2o",15,"l","h2o",57579157.2025706,"reticuline","M1"
331.2,356,"mca_3_l_d2o",10,"l","d2o",52508426.1115264,"reticuline","M1"
331.2,356,"mca_3_l_h2o",10,"l","h2o",49603622.8329613,"reticuline","M1"
399.1,316,"mca_1_l_d2o",5,"l","d2o",52845397.9588608,"acutumine","M1"
399.1,316,"mca_1_l_h2o",5,"l","h2o",45504791.6999634,"acutumine","M1"
399.1,316,"mca_13_l_d2o",15,"l","d2o",48526064.8009538,"acutumine","M1"
399.1,316,"mca_13_l_h2o",15,"l","h2o",31829407.6114193,"acutumine","M1"
399.1,316,"mca_3_l_d2o",10,"l","d2o",27344294.7582139,"acutumine","M1"
399.1,316,"mca_3_l_h2o",10,"l","h2o",20157534.2634144,"acutumine","M1"
385.1,226,"mca_1_l_d2o",5,"l","d2o",10710597.3577564,"acutumidine","M1"
385.1,226,"mca_1_l_h2o",5,"l","h2o",8130430.16520561,"acutumidine","M1"
385.1,226,"mca_13_l_d2o",15,"l","d2o",8672159.27953245,"acutumidine","M1"
385.1,226,"mca_13_l_h2o",15,"l","h2o",6281147.28950779,"acutumidine","M1"
385.1,226,"mca_3_l_d2o",10,"l","d2o",4436658.32465766,"acutumidine","M1"
385.1,226,"mca_3_l_h2o",10,"l","h2o",5060418.23722462,"acutumidine","M1"
288.1,622,"mca_1_l_d2o",5,"l","d2o",6111874.69143668,"coclaurine","M2"
288.1,622,"mca_1_l_h2o",5,"l","h2o",1141304.1250103,"coclaurine","M2"
288.1,622,"mca_13_l_d2o",15,"l","d2o",10027884.4847296,"coclaurine","M2"
288.1,622,"mca_13_l_h2o",15,"l","h2o",145383.703811298,"coclaurine","M2"
288.1,622,"mca_3_l_d2o",10,"l","d2o",2627232.27445533,"coclaurine","M2"
288.1,622,"mca_3_l_h2o",10,"l","h2o",1268353.13271717,"coclaurine","M2"
400.1,316,"mca_1_l_d2o",5,"l","d2o",81773480.1128146,"acutumine","M2"
400.1,316,"mca_1_l_h2o",5,"l","h2o",74717348.6304071,"acutumine","M2"
400.1,316,"mca_13_l_d2o",15,"l","d2o",63766681.6180404,"acutumine","M2"
400.1,316,"mca_13_l_h2o",15,"l","h2o",52189201.8514716,"acutumine","M2"
400.1,316,"mca_3_l_d2o",10,"l","d2o",41692374.7953589,"acutumine","M2"
400.1,316,"mca_3_l_h2o",10,"l","h2o",33069105.8108716,"acutumine","M2"
386.1,216,"mca_1_l_d2o",5,"l","d2o",13649835.3156888,"acutumidine","M2"
386.1,216,"mca_1_l_h2o",5,"l","h2o",14025593.4331798,"acutumidine","M2"
386.1,216,"mca_13_l_d2o",15,"l","d2o",12846944.0224616,"acutumidine","M2"
386.1,216,"mca_13_l_h2o",15,"l","h2o",10818879.4994963,"acutumidine","M2"
386.1,216,"mca_3_l_d2o",10,"l","d2o",6571484.09487929,"acutumidine","M2"
386.1,216,"mca_3_l_h2o",10,"l","h2o",8701132.33058105,"acutumidine","M2"
401.1,316,"mca_1_l_d2o",5,"l","d2o",18560923.2841527,"acutumine","M3"
401.1,316,"mca_1_l_h2o",5,"l","h2o",15405291.3427735,"acutumine","M3"
401.1,316,"mca_13_l_d2o",15,"l","d2o",17261007.3056912,"acutumine","M3"
401.1,316,"mca_13_l_h2o",15,"l","h2o",11066059.3276266,"acutumine","M3"
401.1,316,"mca_3_l_d2o",10,"l","d2o",9291655.5316843,"acutumine","M3"
401.1,316,"mca_3_l_h2o",10,"l","h2o",6946593.37186633,"acutumine","M3"
387.1,225,"mca_1_l_d2o",5,"l","d2o",3402328.75104948,"acutumidine","M3"
387.1,225,"mca_1_l_h2o",5,"l","h2o",2562473.79054761,"acutumidine","M3"
387.1,225,"mca_13_l_d2o",15,"l","d2o",2744575.21243196,"acutumidine","M3"
387.1,225,"mca_13_l_h2o",15,"l","h2o",2000215.95616544,"acutumidine","M3"
387.1,225,"mca_3_l_d2o",10,"l","d2o",1422318.04914684,"acutumidine","M3"
387.1,225,"mca_3_l_h2o",10,"l","h2o",1606870.04461689,"acutumidine","M3"
402.1,315,"mca_1_l_d2o",5,"l","d2o",2950561.82200207,"acutumine","M4"
402.1,315,"mca_1_l_h2o",5,"l","h2o",2334517.33742007,"acutumine","M4"
402.1,315,"mca_13_l_d2o",15,"l","d2o",3448463.1029071,"acutumine","M4"
402.1,315,"mca_13_l_h2o",15,"l","h2o",1684043.04920731,"acutumine","M4"
402.1,315,"mca_3_l_d2o",10,"l","d2o",1481655.74501147,"acutumine","M4"
402.1,315,"mca_3_l_h2o",10,"l","h2o",1063144.63653123,"acutumine","M4"
388.1,226,"mca_1_l_d2o",5,"l","d2o",589415.803914525,"acutumidine","M4"
388.1,226,"mca_1_l_h2o",5,"l","h2o",414091.235096289,"acutumidine","M4"
388.1,226,"mca_13_l_d2o",15,"l","d2o",456064.291793527,"acutumidine","M4"
388.1,226,"mca_13_l_h2o",15,"l","h2o",312079.962524143,"acutumidine","M4"
388.1,226,"mca_3_l_d2o",10,"l","d2o",239363.782269021,"acutumidine","M4"
388.1,226,"mca_3_l_h2o",10,"l","h2o",265215.399479921,"acutumidine","M4"
403.1,316,"mca_1_l_d2o",5,"l","d2o",497260.042944348,"acutumine","M5"
403.1,316,"mca_1_l_h2o",5,"l","h2o",384163.548675045,"acutumine","M5"
403.1,316,"mca_13_l_d2o",15,"l","d2o",770360.525856423,"acutumine","M5"
403.1,316,"mca_13_l_h2o",15,"l","h2o",273190.722320636,"acutumine","M5"
403.1,316,"mca_3_l_d2o",10,"l","d2o",248258.620017452,"acutumine","M5"
403.1,316,"mca_3_l_h2o",10,"l","h2o",166568.110330355,"acutumine","M5"
